ID	Source	Name	Glottocode
ProtoHmongMien	Ratliff2010	Proto-Hmong-Mien	hmon1336
ProtoHmongMien	Wang1995b	Proto-Hmong-Mien	hmon1336
Jiwei	Wang2015	Jiwei	nort2748
Yanghao	Wang2015	Yanghao	east2369
Qibainong	Wang2015	Qibainong	buna1273
Fuyuan	Wang2015	Fuyuan	luop1235
Wenjie	Wang2015	Wenjie	pahn1237
Changdong	Wang2015	Changdong	jion1236
Duozhu	Wang2015	Duozhu	shee1238
Luoxiang	Wang2015	Luoxiang	iumi1238
Liangzi	Wang2015	Liangzi	kimm1245
Sanjiang	Wang2015	Sanjiang	biao1256
Daping	Wang2015	Daping	dzao1238
